Movie_ID,Language_ID
tt2015381,26
tt1446714,26
tt1446714,21
tt4972582,26
tt3470600,26
tt3470600,3
tt1386697,26
tt1386697,3
tt1386697,30
tt2034800,26
tt2034800,25
tt2034800,30
tt3783958,26
tt3783958,10
tt4799064,26
tt1212428,26
tt1212428,14
tt1212428,29
tt1212428,30
tt1212428,1
tt1355644,26
tt1355644,30
tt1355644,3
tt1355644,15
tt3183660,26
tt3183660,19
tt4846340,26
tt3748528,26
tt3521164,26
tt3521164,15
tt4680182,26
tt4680182,4
tt2709768,26
tt2119532,26
tt2119532,3
tt4196776,26
tt4196776,20
tt4196776,1
tt4196776,3
tt0110357,26
tt0110357,17
tt0110357,23
tt0110357,7
tt2543164,2
tt2543164,25
tt2543164,26
tt0015864,32
tt0015864,26
tt4034228,26
tt3896738,26
tt1679335,26
tt1628841,26
tt1628841,25
tt3778010,26
tt4651520,26
tt2094766,26
tt2094766,30
tt2094766,24
tt4501244,26
tt4501244,19
tt4550098,26
tt3385516,26
tt3385516,5
tt3385516,1
tt3385516,24
tt3385516,27
tt1431045,26
tt2592614,26
tt3498820,26
tt3498820,1
tt3498820,23
tt3498820,2
tt3498820,35
tt0816692,26
tt1211837,26
tt2404435,26
tt2404435,12
tt2404435,30
tt1700841,26
tt4975722,26
tt3620452,26
tt4276820,26
tt4276820,9
tt1366338,26
tt1298650,26
tt1298650,30
tt4540710,26
tt1055369,26
tt1055369,30
tt2660888,26
tt3286560,26
tt2488496,26
tt3717252,26
tt3717252,16
tt4824302,26
tt4824302,30
tt2911666,26
tt2911666,2
tt2911666,33
tt0468569,26
tt0468569,25
tt0102926,26
tt0102926,18
tt4160708,26
tt2674426,26
tt2674426,15
tt1661275,26
tt1661275,33
tt1661275,5
tt1661275,15
tt3263904,26
tt2975590,26
tt3289956,26
tt3631112,26
tt3631112,30
tt2322441,26
tt0482571,26
tt2802144,26
tt2802144,24
tt2802144,31
tt4572514,26
tt4572514,13
tt4572514,24
tt1392190,26
tt1392190,2
tt5195412,26
tt1860357,26
tt4776998,26
tt4776998,11
tt4776998,1
tt4776998,15
tt4776998,22
tt3640424,26
tt3640424,15
tt3640424,1
tt3640424,24
tt3416532,26
tt4682786,26
tt2948356,26
tt0449088,26
tt0848228,26
tt0848228,2
tt0361748,26
tt0361748,1
tt0361748,15
tt0361748,28
tt0383574,26
tt0383574,22
tt0383574,20
tt0383574,25
tt0383574,15
tt0087332,26
tt1375666,26
tt1375666,3
tt1375666,15
tt3553976,26
tt3553976,36
tt3553976,1
tt3553976,13
tt0993846,26
tt0993846,15
tt2267998,26
tt0369610,26
tt2361317,26
tt2361317,30
tt0499549,26
tt0499549,30
tt3460252,26
tt3460252,30
tt3460252,15
tt3460252,34
tt2140479,26
tt2140479,6
tt2140479,15
tt1392214,26
tt0803096,26
tt1454029,26
tt2005151,26
tt2005151,24
tt2005151,8
tt2005151,35
tt2395427,26
tt2395427,4
tt3799694,26
tt3799694,1
tt1191111,26
tt1191111,3
tt4714782,26
tt4714782,15
tt4714782,31
tt4714782,1
