Movie_ID,GenreID
tt2015381,2
tt2015381,13
tt2015381,4
tt1446714,13
tt1446714,14
tt1446714,6
tt4972582,15
tt4972582,8
tt3470600,17
tt3470600,4
tt3470600,7
tt1386697,2
tt1386697,13
tt1386697,11
tt2034800,2
tt2034800,13
tt2034800,11
tt3783958,4
tt3783958,1
tt3783958,12
tt4799064,4
tt4799064,8
tt1212428,13
tt1212428,5
tt1212428,1
tt1355644,1
tt1355644,3
tt1355644,6
tt3183660,13
tt3183660,7
tt3183660,11
tt4846340,5
tt4846340,1
tt4846340,9
tt3748528,2
tt3748528,13
tt3748528,6
tt3521164,17
tt3521164,13
tt3521164,4
tt4680182,4
tt4680182,1
tt4680182,11
tt2709768,17
tt2709768,13
tt2709768,4
tt2119532,5
tt2119532,1
tt2119532,9
tt4196776,2
tt4196776,8
tt0110357,17
tt0110357,13
tt0110357,1
tt2543164,1
tt2543164,14
tt2543164,6
tt0015864,13
tt0015864,4
tt0015864,1
tt4034228,1
tt3896738,10
tt3896738,1
tt3896738,8
tt1679335,17
tt1679335,13
tt1679335,4
tt1628841,2
tt1628841,13
tt1628841,6
tt3778010,1
tt3778010,15
tt3778010,14
tt4651520,4
tt2094766,2
tt2094766,13
tt2094766,6
tt4501244,4
tt4550098,1
tt4550098,8
tt3385516,2
tt3385516,13
tt3385516,6
tt1431045,2
tt1431045,4
tt2592614,2
tt2592614,15
tt2592614,6
tt3498820,2
tt3498820,6
tt0816692,13
tt0816692,1
tt0816692,6
tt1211837,2
tt1211837,13
tt1211837,11
tt2404435,2
tt2404435,13
tt2404435,1
tt1700841,17
tt1700841,13
tt1700841,4
tt4975722,1
tt3620452,15
tt4276820,5
tt4276820,1
tt1366338,13
tt1366338,10
tt1366338,1
tt1298650,2
tt1298650,13
tt1298650,11
tt4540710,1
tt1055369,2
tt1055369,13
tt1055369,6
tt2660888,2
tt2660888,13
tt2660888,6
tt3286560,1
tt3286560,3
tt3286560,16
tt2488496,2
tt2488496,13
tt2488496,6
tt3717252,2
tt3717252,13
tt3717252,11
tt4824302,4
tt4824302,1
tt4824302,3
tt2911666,2
tt2911666,10
tt2911666,8
tt0468569,2
tt0468569,10
tt0468569,1
tt0102926,10
tt0102926,1
tt0102926,8
tt4160708,10
tt4160708,15
tt4160708,8
tt2674426,1
tt2674426,3
tt1661275,4
tt1661275,1
tt1661275,3
tt3263904,5
tt3263904,1
tt2975590,2
tt2975590,13
tt2975590,6
tt3289956,15
tt3289956,14
tt3289956,8
tt3631112,10
tt3631112,1
tt3631112,14
tt2322441,1
tt2322441,3
tt2322441,8
tt0482571,1
tt0482571,14
tt0482571,6
tt2802144,2
tt2802144,13
tt2802144,4
tt4572514,2
tt4572514,10
tt4572514,1
tt1392190,2
tt1392190,13
tt1392190,6
tt5195412,1
tt1860357,2
tt1860357,1
tt1860357,9
tt4776998,2
tt4776998,13
tt4776998,1
tt3640424,2
tt3640424,1
tt3640424,3
tt3416532,13
tt3416532,1
tt3416532,7
tt4682786,1
tt4682786,3
tt2948356,17
tt2948356,13
tt2948356,4
tt0449088,2
tt0449088,13
tt0449088,11
tt0848228,2
tt0848228,6
tt0361748,13
tt0361748,1
tt0361748,16
tt0383574,2
tt0383574,13
tt0383574,11
tt0087332,2
tt0087332,4
tt0087332,11
tt1375666,2
tt1375666,13
tt1375666,6
tt3553976,4
tt3553976,1
tt0993846,5
tt0993846,4
tt0993846,10
tt2267998,1
tt2267998,14
tt2267998,8
tt0369610,2
tt0369610,13
tt0369610,6
tt2361317,2
tt2361317,10
tt2361317,1
tt0499549,2
tt0499549,13
tt0499549,11
tt3460252,10
tt3460252,1
tt3460252,14
tt2140479,2
tt2140479,8
tt1392214,10
tt1392214,1
tt1392214,14
tt0803096,2
tt0803096,13
tt0803096,11
tt1454029,1
tt2005151,5
tt2005151,4
tt2005151,10
tt2395427,2
tt2395427,13
tt2395427,6
tt3799694,2
tt3799694,4
tt3799694,10
tt1191111,1
tt1191111,11
tt4714782,14
tt4714782,8
