Movie_ID,CountryID
tt2015381,16
tt1446714,1
tt1446714,16
tt4972582,16
tt4972582,18
tt3470600,18
tt3470600,16
tt3470600,17
tt1386697,16
tt2034800,16
tt2034800,13
tt2034800,7
tt2034800,11
tt2034800,4
tt3783958,16
tt3783958,7
tt4799064,1
tt1212428,16
tt1355644,16
tt1355644,11
tt3183660,1
tt3183660,16
tt4846340,16
tt3748528,16
tt3521164,16
tt4680182,16
tt4680182,9
tt4680182,4
tt4680182,6
tt2709768,16
tt2709768,18
tt2709768,17
tt2119532,11
tt2119532,16
tt2119532,1
tt2119532,13
tt4196776,16
tt4196776,13
tt4196776,9
tt4196776,18
tt4196776,2
tt0110357,16
tt2543164,16
tt2543164,4
tt0015864,16
tt4034228,16
tt3896738,11
tt1679335,16
tt1679335,3
tt1628841,16
tt3778010,16
tt4651520,16
tt4651520,13
tt2094766,16
tt2094766,17
tt2094766,1
tt2094766,7
tt2094766,5
tt2094766,21
tt2094766,9
tt2094766,4
tt4501244,16
tt4550098,16
tt4550098,13
tt3385516,16
tt1431045,16
tt2592614,2
tt2592614,4
tt3498820,16
tt0816692,16
tt0816692,1
tt0816692,4
tt1211837,16
tt2404435,16
tt2404435,11
tt1700841,16
tt1700841,4
tt4975722,16
tt3620452,16
tt4276820,16
tt4276820,14
tt1366338,16
tt1298650,16
tt1298650,1
tt4540710,1
tt4540710,17
tt4540710,4
tt4540710,16
tt1055369,16
tt2660888,16
tt2660888,13
tt3286560,16
tt2488496,16
tt3717252,16
tt4824302,16
tt2911666,16
tt2911666,1
tt2911666,13
tt0468569,16
tt0468569,1
tt0102926,16
tt4160708,16
tt4160708,12
tt2674426,1
tt2674426,16
tt1661275,1
tt1661275,15
tt1661275,17
tt3263904,16
tt2975590,16
tt3289956,1
tt3631112,16
tt3631112,3
tt2322441,16
tt0482571,1
tt0482571,16
tt2802144,1
tt2802144,16
tt4572514,7
tt4572514,16
tt1392190,11
tt5195412,16
tt1860357,16
tt1860357,7
tt1860357,13
tt4776998,9
tt4776998,16
tt3640424,1
tt3640424,16
tt3416532,16
tt3416532,9
tt3416532,1
tt4682786,16
tt2948356,16
tt0449088,16
tt0848228,16
tt0361748,2
tt0361748,16
tt0383574,16
tt0087332,16
tt1375666,16
tt1375666,1
tt3553976,16
tt0993846,16
tt2267998,16
tt0369610,16
tt2361317,16
tt0499549,16
tt3460252,16
tt2140479,16
tt1392214,16
tt0803096,13
tt0803096,16
tt0803096,4
tt0803096,18
tt1454029,16
tt1454029,3
tt2005151,16
tt2005151,8
tt2395427,16
tt3799694,16
tt1191111,17
tt1191111,2
tt1191111,19
tt1191111,4
tt1191111,18
tt4714782,17
tt4714782,2
tt4714782,10
tt4714782,20
